	Ementa	Currículo	Disciplina	Turma	Nome da Disciplina	Horas  Aula	Vagas  Ofertadas	Vagas  Ocupadas	Alunos  Especiais	Saldo  Vagas	Pedidos  sem vaga	Horários	Professor
1			ACL5130	01102A	Biossegurança e Boas Práticas de Laboratório  [Reservada Curso]	36.0	14.0	14.0	0.0	LOTADA		3.1620-2 / CCS-CCS925	Flavia Martinello
2			ACL5130	01102B	Biossegurança e Boas Práticas de Laboratório  [Reservada Curso]	36.0	14.0	14.0	0.0	LOTADA		3.0820-2 / CCS-CCS919	Flavia Martinello
3			ACL5130	01102C	Biossegurança e Boas Práticas de Laboratório  [Reservada Curso]	36.0	14.0	14.0	0.0	LOTADA		5.1620-2 / CCS-CCS927	Flavia Martinello
4			ACL5130	01102D	Biossegurança e Boas Práticas de Laboratório  [Reservada Curso]	36.0	14.0	14.0	0.0	LOTADA		6.1620-2 / CCS-CCS927	Daniela Cristina Tartari
5			ACL5130	01102E	Biossegurança e Boas Práticas de Laboratório  [Reservada Curso]	36.0	14.0	14.0	0.0	LOTADA		3.1330-2 / CCS-CCS921	Flavia Martinello
6			ACL5131	05102A	Parasitologia Clínica	72.0	9.0	9.0	0.0	LOTADA		2.1330-4 / CCS-ACL005	Karin Silva Caumo
7			ACL5131	05102B	Parasitologia Clínica	72.0	9.0	8.0	0.0	1		2.1330-1 / CCS-ACL005  3.0820-3 / CCS-ACL011	Karin Silva Caumo
8			ACL5131	05102C	Parasitologia Clínica	72.0	8.0	8.0	0.0	LOTADA		2.1330-1 / CCS-ACL005  4.1330-3 / CCS-ACL011	Lenilza Mattos Lima
9			ACL5131	05102D	Parasitologia Clínica	72.0	9.0	9.0	0.0	LOTADA	1.0	2.1330-1 / CCS-ACL005  3.1330-3 / CCS-ACL011	Lenilza Mattos Lima
10			ACL5131	05102E	Parasitologia Clínica	72.0	8.0	8.0	0.0	LOTADA		2.1330-1 / CCS-ACL005  4.0820-3 / CCS-ACL011	Lenilza Mattos Lima
11			ACL5131	05102F	Parasitologia Clínica	72.0	8.0	8.0	0.0	LOTADA		2.1330-1 / CCS-ACL005  6.0820-3 / CCS-ACL011	Karin Silva Caumo
12			ACL5132	05102A	Citologia Clínica	90.0	10.0	10.0	0.0	LOTADA	1.0	2.0820-1 / CCS-ACL005  6.0820-4 / CCS-ACL112	Fabiana Botelho de Miranda Onofre
13			ACL5132	05102B	Citologia Clínica	90.0	10.0	10.0	0.0	LOTADA	1.0	2.0820-1 / CCS-ACL005  4.0820-4 / CCS-ACL112	Alexandre Sherlley Casimiro Onofre
14			ACL5132	05102C	Citologia Clínica	90.0	10.0	8.0	0.0	2		2.0820-1 / CCS-ACL005  4.1330-4 / CCS-ACL112	Fabiana Botelho de Miranda Onofre
15			ACL5132	05102D	Citologia Clínica	90.0	10.0	10.0	0.0	LOTADA	5.0	2.0820-1 / CCS-ACL005  3.0820-4 / CCS-ACL112	Alexandre Sherlley Casimiro Onofre
16			ACL5132	05102E	Citologia Clínica	90.0	10.0	6.0	0.0	4		2.0820-1 / CCS-ACL005  3.1330-4 / CCS-ACL112	Fabiana Botelho de Miranda Onofre
17			ACL5133	05102A	Bioquímica Clínica	126.0	10.0	10.0	0.0	LOTADA		2.0910-1 / CCS-ACL005  4.1330-4 / CCS-ACL101  5.1620-2 / CCS-ACL005	Edson Luiz da Silva
18			ACL5133	05102B	Bioquímica Clínica	126.0	10.0	10.0	0.0	LOTADA		2.0910-1 / CCS-ACL005  2.1420-4 / CCS-ACL101  5.1620-2 / CCS-ACL005	Roberto Ferreira de Melo
19			ACL5133	05102C	Bioquímica Clínica	126.0	10.0	10.0	0.0	LOTADA		2.0910-1 / CCS-ACL005  5.1620-2 / CCS-ACL005  6.0820-4 / CCS-ACL101	Cirene Lesniowski Delgobo
20			ACL5133	05102D	Bioquímica Clínica	126.0	10.0	7.0	0.0	3		2.0910-1 / CCS-ACL005  4.0820-4 / CCS-ACL101  5.1620-2 / CCS-ACL005	Cirene Lesniowski Delgobo
21			ACL5133	05102E	Bioquímica Clínica	126.0	10.0	10.0	0.0	LOTADA		2.0910-1 / CCS-ACL005  5.1620-2 / CCS-ACL005  6.1330-4 / CCS-ACL101	Beatriz Garcia Mendes Borba
22			ACL5133	05102F	Bioquímica Clínica	126.0	10.0	10.0	0.0	LOTADA		2.0910-1 / CCS-ACL005  3.0820-4 / CCS-ACL101  5.1620-2 / CCS-ACL005	Cirene Lesniowski Delgobo
